SMILES,Category
CC(C)(C)OC(=O)Nc1ccc(CO)cc1.N#CC,Application_ds
O=C1C(O)=C2OC=3C=C(O)C4=C(OC5CC6C=7C4=CC8=C9C(=CC=C(C97)C(SSCCCC5O)C6O)CC(CCC%10(O)CCC%11CC%12=CC=C(C=C%12)CC%13CC%14SSCC%15=C2C=C(C(O)=C%15CC%16=CC=CC(=C%16)C%14NC%13CSSCC%11C%10)CC(C)C)C8CCO)C13.CC(OCC)=O,Application_ds
O=C1OC2C(C1=C)C(OCC(C)C)CC3(C)C(O)CCC(=C)C23.CC(C)=O,Application_ds
O=C(C=1C(O)=CC=CC1O)CC(O)CCCCCCCCC.CC(OCC)=O,Application_ds
O=C1N(C=2C=CC=CC2OC3CN(CC4=NC=CN4)C1C3)CC=5C=NC=CC5.CC1=CC=CC=C1,Application_ds
CN1CCC(CN(C)Cc2cc3nc(Cl)nc(N4CCOCC4)c3s2)CC1.N#CC,Application_ds
O1CCOC12C=3C=CC=CC3C2.O,Application_ds
BrCCCSCCCBr.O,Application_ds
O=C1NC(=O)C2c3cccc4cccc(c34)C12.CC1CCCO1,Application_ds
O=C1C(Cl)=C(c2ccccc2)C(=O)N1Cc1cccnc1.N#CC,Application_ds
O=C(Cc1ccc(Oc2ccccc2)cc1)Nn1nc(N2CCOCC2)c2ccccc2c1=O.CC(C)=O,Application_ds
Clc1cc2c(nn1)CCNCC2.CC1=CC=CC=C1,Application_ds
CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(CN4CCCC4=O)c3)cc2C1.CC(C)=O,Application_ds
CSc1ncc(Cl)cn1.O,Application_ds
O=C(CC(C)C)CC(C)C1C2=CC(=C3OCOC3=C2C(C)CC1)C.N#CC,Application_ds
O=C(c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1)N1CCOCC1.CC(C)=O,Application_ds
CC(C)=CCn1c(N2CCCC(NC(=O)OC(C)(C)C)C2)nc2c1c(=O)n(CC(=O)c1cccc(N)c1)c(=O)n2C.CCO,Application_ds
CCC(=O)c1ccc(OC(F)(F)F)cc1.CCO,Application_ds
Brc1ccc(C2CCCN2)cc1.CC1=CC=CC=C1,Application_ds
O=C1OC23C=CC4C5(C)CC(O)C(O)C(C)(CO)C5CCC4(C)C3(C)CCC16CCC(=C)C(C)C26.CC(C)=O,Application_ds
O=C(OC1C(OC(=O)CC(C)C)C(O)C(C)(C)C2C3C(=O)CC(C)C2C13C)C(=CC)C.N#CC,Application_ds
  CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](CC2)[C@H]1Nc1c(NCC(F)(F)F)c(=O)c(=O)c1=O.CC(C)=O,Application_ds
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(S(C)(=O)=O)CC1.CC1CCCO1,Application_ds
CN1C(=O)C(NC(=O)[C@@H](N)C(C)(C)C)N=C(c2ccccc2)c2ccccc21.CC(C)=O,Application_ds
O=C1C=2C=CC=CC2N=C3C4=NC=5C=CC=CC5C=C4C(O)N13.CC1CCCO1,Application_ds
O=C(C=1C(=NC=NC1C)C)N2CCC(N3CCN(C(C4=CC=C(C=C4)C(F)(F)F)COC)C(C)C3)(C)CC2.CC1CCCO1,Application_ds
O=C(OC)COC1=CC=C2C(OC=C(C2=O)C=3C=CC=CC3)=C1.N#CC,Application_ds
FC(F)(F)c1cccc2c(-c3cccc4[nH]ccc34)c(Cc3ccccc3)cnc12.CCO,Application_ds
NNC(=O)[C@@H]1CC[C@@H](Oc2ccncn2)CC1.O,Application_ds
N=1N=C(OC1CC=2C=CC=CC2)C3CN(CC4=CC=C(C=C4)C)CC3.CC(OCC)=O,Application_ds
CNC=O.O,Application_ds
Cc1cccc(Nc2nc(-c3ccnc(Br)c3)cs2)c1.CO,Application_ds
CC(C)N(CCCl)C(C)C.CC1CCCO1,Application_ds
